Conference,Name
Southeastern Conference,Vanderbilt University
Big East Conference,Villanova University
Atlantic 10 Conference,Virginia Commonwealth University
Big South Conference,Virginia Military Institute – VMI
Atlantic Coast Conference,Virginia Tech
Northeast Conference,Wagner College
Atlantic Coast Conference,Wake Forest University
Pacific-12 Conference,Washington State University
Big Sky Conference,Weber State University
Big 12 Conference,West Virginia University
Southern Conference,Western Carolina University
Ohio Valley Conference,Western Illinois University
Conference USA,Western Kentucky University
Mid-American Conference,Western Michigan University
American Athletic Conference,Wichita State University
Colonial Athletic Association,William & Mary
Big South Conference,Winthrop University
Southern Conference,Wofford College
Horizon League,Wright State University
Big East Conference,Xavier University
Ivy League,Yale University
Horizon League,Youngstown State University
Pacific West Conference,Adams State University
Rocky Mountain Athletic Conference,Adelphi University
Northeast-10 Conference,Albany State University (Georgia)
Southern Intercol. Ath. Conf.,Allen University
Southern Intercol. Ath. Conf.,American International College
Northeast-10 Conference,Anderson University (South Carolina)
South Atlantic Conference,Angelo State University
Lone Star Conference,Arkansas Tech University
Great American Conference,Ashland University
Great Midwest Athletic Conference,Assumption University
Northeast-10 Conference,Auburn University at Montgomery
Gulf South Conference,Augusta University
Peach Belt Conference,Augustana University (South Dakota)
Northern Sun Intercollegiate Conference,Azusa Pacific University
Pacific West Conference,Barry University
Sunshine State Conference,Barton College
Conference Carolinas,Bellarmine University
Atlantic Sun Conference,Belmont Abbey College
Conference Carolinas,Bemidji State University
Northern Sun Intercollegiate Conference,Benedict College
Southern Intercol. Ath. Conf.,Bentley University
Northeast-10 Conference,Biola University
Pacific West Conference,Black Hills State University
Rocky Mountain Athletic Conference,Bloomfield College
Central Atlantic Collegiate Conference,Bloomsburg University of Pennsylvania
Pennsylvania State Athletic Conference,Bluefield State University
Central Intercollegiate Athletic Association,Bowie State University
Central Intercollegiate Athletic Association,Caldwell University
Central Atlantic Collegiate Conference,"California State Polytechnic University, Humboldt"
California Collegiate Athletic Association,"California State Polytechnic University, Pomona"
California Collegiate Athletic Association,"California State University, Chico"
California Collegiate Athletic Association,"California State University, Dominguez Hills"
California Collegiate Athletic Association,"California State University, East Bay"
California Collegiate Athletic Association,"California State University, Los Angeles"
California Collegiate Athletic Association,"California State University, Monterey Bay"
California Collegiate Athletic Association,"California State University, San Bernardino"
California Collegiate Athletic Association,"California State University, San Marcos"
California Collegiate Athletic Association,"California State University, Stanislaus"
California Collegiate Athletic Association,Cameron University
Lone Star Conference,Carson-Newman University
South Atlantic Conference,Catawba College
South Atlantic Conference,Cedarville University
Great Midwest Athletic Conference,Central State University
Southern Intercol. Ath. Conf.,Central Washington University
Great Northwest Athletic Conference,Chadron State College
Rocky Mountain Athletic Conference,Chaminade University
